TECHNOLOGY_NAME,YEAR_LEARNED
HTML/CSS,2013
JAVASCRIPT,2013
JQUERY,2013
ANGULAR JS,2017
D3,2018
ADOBE PHOTOSHOP,2007
ADOBE ILLUSTRATOR,2007
ADOBE INDESIGN,2007
WORDPRESS,2014
PHP,2014
